country,Population,rev_id
Hondura,Population not found,779557210
East Timorese,Population not found,779579546
Czech Republic,Population not found,779581127
Ivorian,Population not found,779741800
Czech Republic,Population not found,779839245
Czech Republic,Population not found,779839319
Czech Republic,Population not found,779839400
Czech Republic,Population not found,779839455
Czech Republic,Population not found,779839492
Czech Republic,Population not found,779842639
Czech Republic,Population not found,779847262
Czech Republic,Population not found,779847492
Czech Republic,Population not found,779847531
Czech Republic,Population not found,779847687
Czech Republic,Population not found,779847799
Czech Republic,Population not found,779847837
Czech Republic,Population not found,779847883
Czech Republic,Population not found,779848743
Czech Republic,Population not found,779849059
Czech Republic,Population not found,779849258
Czech Republic,Population not found,779849694
Czech Republic,Population not found,779849767
Salvadoran,Population not found,779894617
Salvadoran,Population not found,779931580
"Congo, Dem. Rep. of",Population not found,780035740
Czech Republic,Population not found,780051829
South Korean,Population not found,780227423
Saint Lucian,Population not found,780250934
Rhodesian,Population not found,780260926
Carniolan,Population not found,780281974
Czech Republic,Population not found,780321961
Faroese,Population not found,780361487
Czech Republic,Population not found,780534080
Czech Republic,Population not found,780534267
Greenlandic,Population not found,780537008
Faroese,Population not found,780543271
Faroese,Population not found,780543417
Faroese,Population not found,780543635
Faroese,Population not found,780543692
Salvadoran,Population not found,780552804
Salvadoran,Population not found,780701356
"Congo, Dem. Rep. of",Population not found,780757242
Samoan,Population not found,780759402
Czech Republic,Population not found,780868492
Czech Republic,Population not found,780887131
Czech Republic,Population not found,780921783
